VARIABLE,Title,Long Description,Definition,SOD Type
ADDRESBR,Address (Branch),Address (Branch),Physical location of the branch,Branch
ADDRESS,Street Address,Physical Street Address,The street address at which an Institution or Branch Office is physically located.,Institution
ASSET,Total Assets,Total Assets,"( YTD, $ ) The sum of all assets owned by the Institution including cash, loans, securities, bank premises and other assets. This total does not include off-balance-sheet accounts.",Institution
BKCLASS,Institution Class,Institution Bank Charter Class,"A classification code assigned by the FDIC based on the Institution's Charter type (Commercial Bank or Savings Institution), Charter Agent (State or Federal), Federal Reserve Membership status (Fed Member, Fed Non-Member) and its primary Federal Regulator (State Chartered Institutions are subject to both Federal and State Supervision).
N - Commercial Bank, National (Federal) Charter, Fed Member, and supervised by the Office of the Comptroller of the Currency (OCC); 
NM - Commercial Bank, State Charter, Fed Non-Member, and supervised by the Federal Deposit Insurance Corporation (FDIC); 
OI - Insured U.S. branch of a Foreign Chartered Institution (IBA) and supervised by the OCC or FDIC; 
SB Federal Savings Banks, Federal Charter, supervised by the OCC or before July 21,2011 the Office of Thrift Supervision (OTS); 
SI - State Chartered Stock Savings Banks, supervised by the FDIC; 
SL - State Chartered Stock Savings and Loan Associations, supervised by the FDIC or before July 21,2011 the OTS; 
SM - Commercial Bank, State Charter, Fed Member, and supervised by the Federal Reserve Bank (FRB); 
NC - Non-Insured Non-Deposit Commercial Banks and/or Trust Companies regulated by the OCC, a State, or a Territory; 
NS - Non-Insured Stock Savings Bank supervised by a State or Territory; 
CU - State or Federally Chartered Credit Unions supervised by the National Credit Union Association (NCUA).
Note: The BKCLASS value represents the Institution’s class as of the SOD survey date.",Institution
BKMO,Main Office Designation Flag (Branch),Main Office Designation Flag (Branch),"Main office / branch identifier; Main office = 1, branch = 0",Branch
BRCENM,Branch Office CENCODES,Branch Office CENMCode,"Code used to describe the nature of the reported deposits:
C - Combined
E - Estimated
N - Non Deposit
M - Main Office",Branch
BRNUM,Branch Office Number (Branch),Branch Office Number (Branch),Numerical reference to identify a branch office within one institution,Branch
BRSERTYP,Branch Service Type (Branch),Branch Service Type (Branch),"Code that defines the type of service the branch office provides:
11- Full Service, brick and mortar office
12- Full Service, retail office
13- Full Service, cyber office
21- Limited Service, administrative office
22- Limited Service, military facility
23- Limited Service, drive-through facility
24- Limited Service, loan production office
25- Limited Service, consumer credit office
26- Limited Service, contractual office
27- Limited Service, messenger office
28- Limited Service, retail office
29- Limited Service, mobile/seasonal office
30- Limited Service, trust office",Branch
CALL,CALL and TFR Report identifier (Institution),CALL and TFR Report identifier (Institution),"Prior to 2012, OTS institutions filed a quarterly Thrift Financial Report (TFR). All other institutions file the Call Report.",Institution
CBSA_DIV_NAMB,Metropolitan Division Name (Branch),Metropolitan Division Name (Branch),"The name that corresponds to a code for a county or group of counties within a Core Based Statistical Area that contains a core with a population of at least 2.5 million. A Metropolitan Division consists of one or more main/secondary counties that represent an employment center or centers, plus adjacent counties associated with the main county or counties through commuting ties.",Branch
CERT,FDIC Certificate #,FDIC Certificate #,A unique number assigned by the FDIC used to identify Institutions and for the issuance of Insurance Certificates.,
